timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-27 06:11:25,@RSB_85 #HowsTheJosh  #HighSir  #HowsTheJaish  #DeadSir Never mess with indian army.,keshaw_prakash,"[u'HowsTheJosh', u'HighSir', u'HowsTheJaish', u'DeadSir']",15
2019-02-27 06:03:39,Jai Hind 🇮🇳 @IAF_MCC #HowsTheJosh High Sir! #HowsTheJaish - Destroyed Sir! https://t.co/lPXoF0QvsE,_laeeqdasankop,"[u'HowsTheJosh', u'HowsTheJaish']",0
2019-02-27 05:50:59,We bombed trees but his $$ is in fire ! He is threatening 2 give us jaw breaking *responce* ..  I wonder if there is a sane person alive in Na-Pak ?  bc madrsa chaps  #IndiaAgainstTreePlantation #IndianFailedStrike #HowsTheJaish #TaubaTauba #Surgicalstrike2 #PakistanAirForce https://t.co/boYJk8Q7xF,RKHD008,"[u'IndiaAgainstTreePlantation', u'IndianFailedStrike', u'HowsTheJaish', u'TaubaTauba', u'Surgicalstrike2', u'PakistanAirForce']",1786
2019-02-27 05:49:59,"@raj_rajsudhakar @satyavratshukla Yesterday, not only have the terrorists died.  Someone's aspirations of becoming PM has also died.  #IndiaStrikesPakistan #IndiaStrikesBack #IndianAirForce #HowsTheJaish #PulwamaAttacks #NeverForget",ashish_debu,"[u'IndiaStrikesPakistan', u'IndiaStrikesBack', u'IndianAirForce', u'HowsTheJaish', u'PulwamaAttacks', u'NeverForget']",34
2019-02-27 05:41:14,This is Thomson Reuters building in Canary Wharf London....Zoom in and read the news #HowsTheJaish https://t.co/77BmRuDMPe,Nature2610,[u'HowsTheJaish'],459
2019-02-27 05:38:50,*UK (INDEPENDENT)  Indian fighter jets crossed into Pakistan to carry out a bombing raid against a militant training camp #IndiaStrikesPakistan #HowsTheJaish #IndianAirForce  https://t.co/pj5jMNoQ4Y,VisitorA8Planet,"[u'IndiaStrikesPakistan', u'HowsTheJaish', u'IndianAirForce']",5010
2019-02-27 05:35:02,"May lord have mercy on our enemies, because we won't  #IndiaStrikesBack #IndiaStrikesPakistan  #IndianAirforce #HowsTheKhaufPakistan #HowsTheJaish",neerajsagar,"[u'IndiaStrikesBack', u'IndiaStrikesPakistan', u'IndianAirforce', u'HowsTheKhaufPakistan', u'HowsTheJaish']",397
2019-02-27 05:35:01,How’s the Jaish?? Destroyed sir !!    How’s the Jaish?? Destroyed sir !!    How’s the Jaish?? Destroyed sir !!  😁😁 #ProudIndian 🇮🇳🇮🇳🇮🇳  #IndiaStrikesPakistan #HowsTheJaish #PulwamaRevenge   #Surgicalstrike2 #SaluteToIndianAirForce,FromSuvayu,"[u'ProudIndian', u'IndiaStrikesPakistan', u'HowsTheJaish', u'PulwamaRevenge', u'Surgicalstrike2', u'SaluteToIndianAirForce']",21
2019-02-27 05:26:04,"#HowsTheJaish   We fucked Sir, We totally destroy Sir, We nistenaabut Sir..  Ammi jaan chu# gai Sir 😉😉",lucky2715,[u'HowsTheJaish'],66
2019-02-27 05:17:35,HOW'S THE JAISH ?  DIED SIR  #Surgicalstrike2 #BalakotAirStrikes #PulwamaRevenge #HowsTheJaish #IndiaStrikesBack #mirage2000    @narendramodi @IAF_MCC @crpfindia https://t.co/oWLDRHLK3P,obviously_nihar,"[u'Surgicalstrike2', u'BalakotAirStrikes', u'PulwamaRevenge', u'HowsTheJaish', u'IndiaStrikesBack', u'mirage2000']",4
2019-02-27 05:14:21,India is confident enough to strike in enemy territory now. While its fuddu enemies claim they couldn't even see anything due to darkness of night 😂 #HowsTheKhaufPakistan #HowsTheJaish #IndiaStrikesPakistan,skepblunquill,"[u'HowsTheKhaufPakistan', u'HowsTheJaish', u'IndiaStrikesPakistan']",126
2019-02-27 05:10:49,@kirannazsamaa ji #HowsTheJaish in Wagah Border after @IAF_MCC #IndiaStrikesPakistan 26/2.@TajinderBagga @NupurSharmaBJP https://t.co/vMOQ8EIWer,Rajeshrout99,"[u'HowsTheJaish', u'IndiaStrikesPakistan']",36
2019-02-27 05:02:04,"People asking #howsthejaish as in dudes you know how fucked up it feels to live in areas of danger where there are air blasts, firing and all stuff going. I plead to @PMOIndia please let us live, let us be in peace not rest in peace Sincerely, every #kashmiri",Mux2812,"[u'howsthejaish', u'kashmiri']",62
2019-02-27 04:52:18,@tehseenp There u go. The Pakistani (inside India) strikes... #HowsTheJaish,Sambhavami10,[u'HowsTheJaish'],35
2019-02-27 04:36:20,"1000 kgs bombs dropped on terror camps with pin point accuracy. Forget about camps being destroyed, they would have been vaporised.   After #Pulwama some sick minds asked us a question, laughing at our grief. Today, we ask them that same question.  #HowsTheJaish https://t.co/XS54R9luqV",Hidereddysai,"[u'Pulwama', u'HowsTheJaish']",11
2019-02-27 04:22:57,#Pakistan  is still in very much Shock...😂😂 #PakistanArmy  #PAF #IndiaStrikesBack  #IndianAirForce  #Pulwama  #Balakot  #IndianArmyOurPride  #airstrike  #IndiaStrikes  #Kashmir  #howsthejaish  #Jaish  #JaiHind  #56InchRocks #IndiaStrikesPakistan  #SaluteToIndianAirForce 😄👏👇 https://t.co/vhb484lX5c,ImRupalGautam,"[u'Pakistan', u'PakistanArmy', u'PAF', u'IndiaStrikesBack', u'IndianAirForce', u'Pulwama', u'Balakot', u'IndianArmyOurPride', u'airstrike', u'IndiaStrikes', u'Kashmir', u'howsthejaish', u'Jaish', u'JaiHind', u'56InchRocks', u'IndiaStrikesPakistan', u'SaluteToIndianAirForce']",12
2019-02-27 04:09:59,Just wowwww! Thanks for letting the whole world know the truth @narendramodi @rajnathsingh @SushmaSwaraj #HowsTheJaish #Surgicalstrike2 https://t.co/BzJY6mf7aE,dineshim,"[u'HowsTheJaish', u'Surgicalstrike2']",196
2019-02-27 04:09:40,Sher market se update: Shero k josh me bda uchaal ⬆️ #HowsTheJaish #IndianArmy #IndiaFightsBack #PulwamaRevenge https://t.co/RF2ybp11XN,prshntkr,"[u'HowsTheJaish', u'IndianArmy', u'IndiaFightsBack', u'PulwamaRevenge']",33
2019-02-27 04:08:08,"Apt t-shirt, eh? #HowsTheJaish #HowsTheJosh #surgicalstrike2 #IndiaStrikesBack #IndianAirForce #JaiHind @bewakoof https://t.co/JCeQjg35Ln",BunnyPunia,"[u'HowsTheJaish', u'HowsTheJosh', u'surgicalstrike2', u'IndiaStrikesBack', u'IndianAirForce', u'JaiHind']",5542
2019-02-27 04:07:55,@trehan_barkha Now ask @BDUTT #HowsTheJaish ?,iLoveiDevices,[u'HowsTheJaish'],525
2019-02-27 04:00:36,Countdown for Masood Azhar the Jihsdi rat hiding in hospital to use innocent Pakistanis &amp; bedridden patients as humanshields! #HowsTheJaish #HowsTheKhaufPakistan #IndiaStrikesBack #IndiaStrikesPakistan #Surgicalstrike2 #ModiHaiTohMumkinHai https://t.co/70i64nkhAI,DebashishHiTs,"[u'HowsTheJaish', u'HowsTheKhaufPakistan', u'IndiaStrikesBack', u'IndiaStrikesPakistan', u'Surgicalstrike2', u'ModiHaiTohMumkinHai']",7949
2019-02-27 03:52:36,@rahulkanwal Bang on. This who changed #howsthejosh to #HowsTheJaish should be asking #HowsTheKhaufPakistan. Superproud #IndianAirForce @PMOIndia @narendramodi,Indialaws,"[u'howsthejosh', u'HowsTheJaish', u'HowsTheKhaufPakistan', u'IndianAirForce']",1055
2019-02-27 03:51:57,Revenge was around 1:8 ratio  42 Jawans : 330 Terrorist .!  How is the josh ? #IndiaStikesBack #Surgicalstike2 #HowsTheJaish #indianairforce,GajananAstro,"[u'IndiaStikesBack', u'Surgicalstike2', u'HowsTheJaish', u'indianairforce']",776
